name,type,minHP,maxHp,hpGrowth,minMP,maxMp,mpGrowth,minStr,maxStr,strGrowth,minMag,maxMag,magGrowth,minEnd,maxEnd,endGrowth,minSpd,maxSpd,spdGrowth,minLuck,maxLuck,luckGrowth
Knight 1,0,224,620,4,100,298,2,1,88,0.87,1,32,0.31,1,81,0.8,1,43,0.42,1,56,0.55
Priest 1,1,223,520,3,154,550,4,1,60,0.59,1,68,0.67,1,57,0.56,1,58,0.57,1,57,0.56
Assassin 1,2,173,470,3,127,424,3,1,49,0.48,1,55,0.54,1,48,0.47,1,72,0.71,1,76,0.75
Magician 1,3,203,500,3,134,530,4,1,56,0.55,1,72,0.71,1,53,0.52,1,62,0.61,1,57,0.56
Knight 2,0,283,580,3,130,427,3,1,75,0.74,1,45,0.44,1,85,0.84,1,45,0.44,1,58,0.57
Priest 2,1,193,490,3,160,556,4,1,50,0.49,1,70,0.69,1,60,0.59,1,62,0.61,1,60,0.59
Assassin 2,2,177,573,4,121,418,3,1,75,0.74,1,47,0.46,1,63,0.62,1,64,0.63,1,67,0.66
Magician 2,3,220,517,3,150,546,4,1,41,0.4,1,74,0.73,1,55,0.54,1,53,0.52,1,52,0.51
Knight 4,0,194,590,4,97,295,2,1,70,0.69,1,34,0.33,1,70,0.69,1,55,0.54,1,64,0.63
Priest 4,1,273,570,3,163,460,3,1,65,0.64,1,63,0.62,1,62,0.61,1,43,0.42,1,55,0.54
Assassin 4,2,261,459,2,139,535,4,1,40,0.39,1,70,0.69,1,54,0.53,1,90,0.89,1,81,0.8
Magician 4,3,206,602,4,145,541,4,1,68,0.67,1,75,0.74,1,65,0.64,1,46,0.45,1,54,0.53
