,Type 0,Type 1,Type 2,Type 3,Type 4
Enemy 281,0.39433953,0.1742856,0.30012822,0.05467697,0.07656971
Enemy 282,0.26403007,0.04086595,0.054162268,0.24726114,0.39368054
Enemy 283,0.4055497,0.15935633,0.26648435,0.069653586,0.098956004
Enemy 284,0.37983793,0.18666235,0.33006352,0.043417756,0.06001853
Enemy 285,0.26403007,0.04086595,0.054162268,0.24726114,0.39368054
Enemy 286,0.37983793,0.18666235,0.33006352,0.043417756,0.06001853
Enemy 287,0.37983793,0.18666235,0.33006352,0.043417756,0.06001853
Enemy 288,0.37983793,0.18666235,0.33006352,0.043417756,0.06001853
Enemy 289,0.38901561,0.17933996,0.3120999,0.049951866,0.06959271
Enemy 290,0.37983793,0.18666235,0.33006352,0.043417756,0.06001853
Enemy 291,0.2868513,0.16664074,0.34571263,0.08986442,0.11093095
Enemy 292,0.26403007,0.04086595,0.054162268,0.24726114,0.39368054
Enemy 293,0.37983793,0.18666235,0.33006352,0.043417756,0.06001853
Enemy 294,0.3804601,0.18620768,0.3289249,0.043812726,0.06059471
Enemy 295,0.37983793,0.18666235,0.33006352,0.043417756,0.06001853
Enemy 296,0.3801531,0.18643266,0.3294879,0.043617096,0.0603093
Enemy 297,0.37983793,0.18666235,0.33006352,0.043417756,0.06001853
Enemy 298,0.37992817,0.18659651,0.32989863,0.043474894,0.06010186
Enemy 299,0.37983793,0.18666232,0.33006346,0.043417756,0.060018543
Enemy 300,0.26403007,0.04086595,0.054162268,0.24726114,0.39368054
Enemy 301,0.26403007,0.04086595,0.054162268,0.24726114,0.39368054
Enemy 302,0.4103262,0.13510399,0.216177,0.097233914,0.14115891
Enemy 303,0.37983793,0.18666235,0.33006352,0.043417756,0.06001853
Enemy 304,0.37983793,0.18666235,0.33006352,0.043417756,0.06001853
Enemy 305,0.37983793,0.18666235,0.33006352,0.043417756,0.06001853
Enemy 306,0.26403007,0.04086595,0.054162268,0.24726114,0.39368054
Enemy 307,0.4106514,0.14068942,0.22735639,0.09052314,0.13077968
Enemy 308,0.37983793,0.18666235,0.33006352,0.043417756,0.06001853
Enemy 309,0.37982124,0.18665992,0.330069,0.043423954,0.060025852
Enemy 310,0.26403007,0.04086595,0.054162268,0.24726114,0.39368054
Enemy 311,0.37983793,0.18666235,0.33006352,0.043417756,0.06001853
Enemy 312,0.26403007,0.04086595,0.054162268,0.24726114,0.39368054
Enemy 313,0.3799377,0.18658976,0.32988152,0.043480694,0.060110345
Enemy 314,0.26403007,0.04086595,0.054162268,0.24726114,0.39368054
Enemy 315,0.38843575,0.17984791,0.31332147,0.049486674,0.06890819
Enemy 316,0.38115025,0.093557626,0.1391203,0.15416984,0.23200195
Enemy 317,0.37983793,0.18666235,0.33006352,0.043417756,0.06001853
Enemy 318,0.39833993,0.16987468,0.28993592,0.058943436,0.08290599
Enemy 319,0.37983787,0.18666233,0.3300635,0.043417748,0.060018536
Enemy 320,0.26403007,0.04086595,0.054162268,0.24726114,0.39368054
Enemy 321,0.37983796,0.1866623,0.33006343,0.04341777,0.06001856
Enemy 322,0.26403007,0.04086595,0.054162268,0.24726114,0.39368054
Enemy 323,0.3897934,0.17864688,0.31043872,0.050589416,0.07053156
Enemy 324,0.26444528,0.04098843,0.05434387,0.24701004,0.39321238
Enemy 325,0.26403007,0.04086595,0.054162268,0.24726114,0.39368054
Enemy 326,0.26403016,0.04086598,0.054162312,0.2472611,0.39368048
Enemy 327,0.26403007,0.04086595,0.054162268,0.24726114,0.39368054
Enemy 328,0.38343012,0.18396187,0.3233473,0.045784544,0.06347621
Enemy 329,0.26797962,0.04204182,0.055909023,0.24485852,0.389211
Enemy 330,0.38373998,0.18371987,0.32275087,0.045999076,0.06379022
Enemy 331,0.37983793,0.18666232,0.33006346,0.043417756,0.060018543
Enemy 332,0.37983793,0.18666233,0.3300635,0.043417756,0.060018532
Enemy 333,0.3954398,0.17313544,0.29744852,0.055776622,0.07819961
Enemy 334,0.37983793,0.18666235,0.33006352,0.043417756,0.06001853
Enemy 335,0.26403007,0.04086595,0.054162268,0.24726114,0.39368054
Enemy 336,0.26403007,0.04086595,0.054162268,0.24726114,0.39368054
Enemy 337,0.37983793,0.18666235,0.33006352,0.043417756,0.06001853
Enemy 338,0.26403007,0.04086595,0.054162268,0.24726114,0.39368054
Enemy 339,0.37983793,0.18666235,0.33006352,0.043417756,0.06001853
Enemy 340,0.26403007,0.04086595,0.054162268,0.24726114,0.39368054
Enemy 341,0.37983793,0.18666235,0.33006352,0.043417756,0.06001853
Enemy 342,0.40839463,0.12710592,0.20054191,0.10722234,0.15673526
Enemy 343,0.37983793,0.18666235,0.33006352,0.043417756,0.06001853
Enemy 344,0.26403007,0.04086595,0.054162268,0.24726114,0.39368054
Enemy 345,0.40795773,0.12591085,0.19824159,0.10875343,0.15913633
Enemy 346,0.37983793,0.18666235,0.33006352,0.043417756,0.06001853
Enemy 347,0.26403007,0.04086595,0.054162268,0.24726114,0.39368054
Enemy 348,0.39151677,0.1770599,0.30665892,0.052061684,0.07270267
Enemy 349,0.26403007,0.04086595,0.054162268,0.24726114,0.39368054
Enemy 350,0.38544393,0.1823611,0.31941757,0.047211245,0.065566204
Enemy 351,0.26403007,0.04086595,0.054162268,0.24726114,0.39368054
Enemy 352,0.40638757,0.12226754,0.19128399,0.11348388,0.16657713
Enemy 353,0.37983793,0.18666235,0.33006352,0.043417756,0.06001853
Enemy 354,0.3805999,0.18610476,0.3286676,0.04390229,0.060725424
Enemy 355,0.17593364,0.030103033,0.043907337,0.30150065,0.44855538
Enemy 356,0.37983793,0.18666235,0.33006352,0.043417756,0.06001853
Enemy 357,0.26403007,0.04086595,0.054162268,0.24726114,0.39368054
Enemy 358,0.26403007,0.04086595,0.054162268,0.24726114,0.39368054
Enemy 359,0.26403007,0.04086595,0.054162268,0.24726114,0.39368054
Enemy 360,0.29313326,0.05014908,0.06814758,0.22876784,0.35980222
Enemy 361,0.3815987,0.1853618,0.3268151,0.04455129,0.06167304
Enemy 362,0.3798384,0.18666197,0.3300626,0.043418057,0.060018975
Enemy 363,0.37983793,0.18666235,0.33006352,0.043417756,0.06001853
Enemy 364,0.26403007,0.04086595,0.054162268,0.24726114,0.39368054
Enemy 365,0.37981522,0.09253584,0.13734454,0.15573418,0.2345703
Enemy 366,0.39278966,0.17583796,0.30377063,0.053207092,0.07439467
Enemy 367,0.37983793,0.18666235,0.33006352,0.043417756,0.06001853
Enemy 368,0.26403007,0.04086595,0.054162268,0.24726114,0.39368054
Enemy 369,0.26403007,0.04086595,0.054162268,0.24726114,0.39368054
Enemy 370,0.26403007,0.04086595,0.054162268,0.24726114,0.39368054
Enemy 371,0.19030255,0.031970818,0.0458229,0.2920262,0.43987748
Enemy 372,0.40461126,0.16103975,0.27016273,0.06788869,0.09629743
Enemy 373,0.381388,0.18551971,0.32720816,0.044413034,0.061471097
Enemy 374,0.37983793,0.18666235,0.33006352,0.043417756,0.06001853
Enemy 375,0.37983793,0.18666235,0.33006352,0.043417756,0.06001853
Enemy 376,0.26403007,0.04086595,0.054162268,0.24726114,0.39368054
Enemy 377,0.37983793,0.18666235,0.33006352,0.043417756,0.06001853
Enemy 378,0.26773584,0.041968543,0.055799957,0.24500771,0.3894879
Enemy 379,0.26403007,0.04086595,0.054162268,0.24726114,0.39368054
Enemy 380,0.38898283,0.17936881,0.3121692,0.04992537,0.06955371
Enemy 381,0.37983793,0.18666235,0.33006352,0.043417756,0.06001853
Enemy 382,0.40633312,0.15782532,0.2631623,0.07127547,0.10140375
Enemy 383,0.39421788,0.17440508,0.30041003,0.05456445,0.07640254
Enemy 384,0.26403007,0.04086595,0.054162268,0.24726114,0.39368054
Enemy 385,0.26403007,0.04086595,0.054162268,0.24726114,0.39368054
Enemy 386,0.26403007,0.04086595,0.054162268,0.24726114,0.39368054
Enemy 387,0.37983793,0.18666235,0.33006352,0.043417756,0.06001853
Enemy 388,0.26403007,0.04086595,0.054162268,0.24726114,0.39368054
Enemy 389,0.38329646,0.18406568,0.3236035,0.045692593,0.063341655
Enemy 390,0.37983793,0.18666235,0.33006352,0.043417756,0.06001853
Enemy 391,0.26410595,0.04088832,0.054195426,0.2472153,0.39359507
Enemy 392,0.37983793,0.18666235,0.33006352,0.043417756,0.06001853
Enemy 393,0.26403007,0.04086595,0.054162268,0.24726114,0.39368054
Enemy 394,0.26403007,0.04086595,0.054162268,0.24726114,0.39368054
Enemy 395,0.37983605,0.18666206,0.33006412,0.043418434,0.060019344
Enemy 396,0.26403007,0.04086595,0.054162268,0.24726114,0.39368054
Enemy 397,0.37983793,0.18666235,0.33006352,0.043417756,0.06001853
Enemy 398,0.37983793,0.18666235,0.33006352,0.043417756,0.06001853
Enemy 399,0.26403007,0.04086595,0.054162268,0.24726114,0.39368054
Enemy 400,0.26403007,0.04086595,0.054162268,0.24726114,0.39368054
